7.876693642066374e+24; 1.3790067617053098e-12; 0; Median
4.921478455247767e+24; 1.3790067617053098e-12; 0; Confidence left
1.2241279028527136e+25; 1.3925179850524542e-12; 0; Confidence right
1.3502450122787593e+24; 3.0082905759688363e-12; 1; Median
8.688198576850502e+23; 3.0082905759688363e-12; 1; Confidence left
2.0984345339912435e+24; 3.0082905759688363e-12; 1; Confidence right
7430484915488916000; 7.74565707699827e-12; 2; Median
4642680429808961000; 7.74565707699827e-12; 2; Confidence left
11547819846894488000; 7.670503072625557e-12; 2; Confidence right
1312059201693571.5; 3.807354418413656e-13; 3; Median
949582450579080.1; 3.807354418413656e-13; 3; Confidence left
1812901394395971.8; 3.807354418413656e-13; 3; Confidence right
1519781122503663.5; 2.9837530271681964e-13; 4; Median
1099917961619472.6; 2.9837530271681964e-13; 4; Confidence left
2039089435204192.2; 2.9837530271681964e-13; 4; Confidence right

