1354442987.3897214; 7.664854487955876e-15; 0; Median
1390730391.4138014; 3.220358680583207e-14; 1; Median
8851117158.502626; 1.8981606105307904e-13; 2; Median
35938136638.0464; 5.840730645954001e-13; 3; Median
90663635046.34692; 2.3088855268091758e-12; 4; Median
851686929521667.5; 1.2985364815892115e-12; 5; Median
689322178104245.2; 1.1112738646566666e-12; 6; Median
543353294344423.2; 9.069932867369877e-13; 7; Median
543353294344423.2; 6.249896920128127e-13; 8; Median
309609463570247300; 5.458351539962178e-13; 9; Median
436599304342525200; 9.008728632253533e-13; 10; Median

