4.147732700865385e+23; 3.107429009610139e-12; 0; Median
4.147732700865385e+23; 3.887457494633343e-12; 0; Standard error +1
4.147732700865385e+23; 2.4153425010859665e-12; 0; Standard error -1
2.9470517025517857e+23; 2.4153425010859665e-12; 0; Confidence left
5.593464557260479e+23; 2.4153425010859665e-12; 0; Confidence right
1.3088296259281919e+23; 4.348083467104562e-12; 1; Median
1.3088296259281919e+23; 5.215851617932137e-12; 1; Standard error +1
1.3088296259281919e+23; 3.379678429945686e-12; 1; Standard error -1
9.70538989520752e+22; 3.379678429945686e-12; 1; Confidence left
1.922467462429184e+23; 3.379678429945686e-12; 1; Confidence right
4.1300515564803305e+22; 6.8049783481862754e-12; 2; Median
4.1300515564803305e+22; 8.878268346453242e-12; 2; Standard error +1
4.1300515564803305e+22; 4.5984766095874434e-12; 2; Standard error -1
2.9344888759616904e+22; 4.5984766095874434e-12; 2; Confidence left
5.812707623093454e+22; 4.5984766095874434e-12; 2; Confidence right
669431339424920200; 2.80973907486597e-13; 3; Median
669431339424920200; 3.446025394148745e-13; 3; Standard error +1
669431339424920200; 2.182256396154106e-13; 3; Standard error -1
483039542094792060; 3.446025394148745e-13; 3; Confidence left
927746652501379800; 3.446025394148745e-13; 3; Confidence right
328466773946216770; 1.8142468861302127e-13; 4; Median
328466773946216770; 2.203572388351097e-13; 4; Standard error +1
328466773946216770; 1.409081685511736e-13; 4; Standard error -1
237010774273931600; 1.409081685511736e-13; 4; Confidence left
468919985114090000; 1.409081685511736e-13; 4; Confidence right
844927046957201.6; 4.985827525844175e-13; 5; Median
844927046957201.6; 5.336887871734345e-13; 5; Standard error +1
844927046957201.6; 4.612802673257009e-13; 5; Standard error -1
591850358577511.8; 4.703357280797962e-13; 5; Confidence left
1206219958023935.2; 4.703357280797962e-13; 5; Confidence right
686485901302864.4; 8.185328931551935e-13; 6; Median
686485901302864.4; 8.676916478710815e-13; 6; Standard error +1
686485901302864.4; 7.572926857424269e-13; 6; Standard error -1
466810249907579.9; 7.572926857424269e-13; 6; Confidence left
1009538442613262.6; 7.646898206568086e-13; 6; Confidence right
541452160163304.9; 1.0038957570796466e-12; 7; Median
541452160163304.9; 1.0641868775651842e-12; 7; Standard error +1
525625164728115.94; 9.470204080963045e-13; 7; Standard error -1
390693993705462.06; 9.470204080963045e-13; 7; Confidence left
820229285088034.9; 9.470204080963045e-13; 7; Confidence right

